exercise,primary_muscle,exercise_link,image_link
Hammer Curl,Biceps,https://fitnessprogramer.com/exercise/hammer-curl/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Hammer-Curl.gif
Seated Incline Dumbbell Curl,Biceps,https://fitnessprogramer.com/exercise/seated-incline-dumbbell-curl/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Seated-Incline-Dumbbell-Curl.gif
Barbell Seated Calf Raise,Calf,https://fitnessprogramer.com/exercise/barbell-seated-calf-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Barbell-Seated-Calf-Raise.gif
Kneeling Cable Crunch,Abs,https://fitnessprogramer.com/exercise/kneeling-cable-crunch/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Kneeling-Cable-Crunch.gif
Heel Touch,Abs,https://fitnessprogramer.com/exercise/heel-touch/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Heel-Touch.gif
One-Arm Lying Triceps Extension,Triceps,https://fitnessprogramer.com/exercise/one-arm-lying-triceps-extension/,https://fitnessprogramer.com/wp-content/uploads/2021/04/One-Arm-Lying-Triceps-Extension.gif
Bodyweight Military Press,Shoulders,https://fitnessprogramer.com/exercise/bodyweight-military-press/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Bodyweight-Military-Press.gif
Bodyweight Military Press,Trapezius,https://fitnessprogramer.com/exercise/bodyweight-military-press/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Bodyweight-Military-Press.gif
Lever Preacher Curl,Biceps,https://fitnessprogramer.com/exercise/lever-preacher-curl/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lever-Preacher-Curl.gif
High Cable Single Arm Bicep Curl,Biceps,https://fitnessprogramer.com/exercise/high-cable-single-arm-bicep-curl/,https://fitnessprogramer.com/wp-content/uploads/2021/04/High-Cable-Single-Arm-Bicep-Curl.gif
Cable Rope Overhead Triceps Extension,Triceps,https://fitnessprogramer.com/exercise/cable-rope-overhead-triceps-extension/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Rope-Overhead-Triceps-Extension.gif
Lever Triceps Dip,Triceps,https://fitnessprogramer.com/exercise/lever-triceps-dip/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lever-Overhand-Triceps-Dip.gif
Romanian Deadlift,Back / Wing,https://fitnessprogramer.com/exercise/romanian-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Romanian-Deadlift.gif
Romanian Deadlift,Erector Spinae,https://fitnessprogramer.com/exercise/romanian-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Romanian-Deadlift.gif
Romanian Deadlift,Hip,https://fitnessprogramer.com/exercise/romanian-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Romanian-Deadlift.gif
Romanian Deadlift,Leg,https://fitnessprogramer.com/exercise/romanian-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Romanian-Deadlift.gif
Pec Deck Fly,Chest,https://fitnessprogramer.com/exercise/pec-deck-fly/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Pec-Deck-Fly.gif
Dumbbell Pullover,Chest,https://fitnessprogramer.com/exercise/dumbbell-pullover/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Pullover.gif
Low Cable Crossover,Chest,https://fitnessprogramer.com/exercise/low-cable-crossover/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Low-Cable-Crossover.gif
High Cable Crossover,Chest,https://fitnessprogramer.com/exercise/high-cable-crossover/,https://fitnessprogramer.com/wp-content/uploads/2021/02/High-Cable-Crossover.gif
Cable Upper Chest Crossovers,Chest,https://fitnessprogramer.com/exercise/cable-upper-chest-crossovers/,https://fitnessprogramer.com/wp-content/uploads/2021/10/Cable-Upper-Chest-Crossovers.gif
Incline Barbell Bench Press,Chest,https://fitnessprogramer.com/exercise/incline-barbell-bench-press/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Incline-Barbell-Bench-Press.gif
Dumbbell Fly,Chest,https://fitnessprogramer.com/exercise/dumbbell-fly/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Fly.gif
Dumbbell Bench Press,Chest,https://fitnessprogramer.com/exercise/dumbbell-press/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Press-1.gif
Cable Crossover,Chest,https://fitnessprogramer.com/exercise/cable-crossover/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Crossover.gif
One-Arm Cable Chest Press,Chest,https://fitnessprogramer.com/exercise/one-arm-cable-chest-press/,https://fitnessprogramer.com/wp-content/uploads/2021/12/One-Arm-Cable-Chest-Press.gif
Lying Barbell Triceps Extension,Triceps,https://fitnessprogramer.com/exercise/lying-barbell-triceps-extension/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Triceps-Extension.gif
One Arm Cable Curl,Biceps,https://fitnessprogramer.com/exercise/one-arm-cable-curl/,https://fitnessprogramer.com/wp-content/uploads/2021/02/One-Arm-Cable-Curl.gif
Push Press,Full Body,https://fitnessprogramer.com/exercise/push-press/,https://fitnessprogramer.com/wp-content/uploads/2021/02/push-press-1.gif
Push Press,Shoulders,https://fitnessprogramer.com/exercise/push-press/,https://fitnessprogramer.com/wp-content/uploads/2021/02/push-press-1.gif
Single-Arm Cable Crossover,Chest,https://fitnessprogramer.com/exercise/single-arm-cable-crossover/,https://fitnessprogramer.com/wp-content/uploads/2021/10/Single-Arm-Cable-Crossover.gif
Incline Dumbbell Fly,Chest,https://fitnessprogramer.com/exercise/incline-dumbbell-fly/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Incline-dumbbell-Fly.gif
Incline Dumbbell Press,Chest,https://fitnessprogramer.com/exercise/incline-dumbbell-press/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Incline-Dumbbell-Press.gif
Reverse Grip Incline Dumbbell Press,Chest,https://fitnessprogramer.com/exercise/reverse-grip-incline-dumbbell-press/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Reverse-Grip-Incline-Dumbbell-Press.gif
Sphinx Stretch,Erector Spinae,https://fitnessprogramer.com/exercise/sphinx-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Sphinx-Stretch.gif
Sphinx Stretch,Neck,https://fitnessprogramer.com/exercise/sphinx-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Sphinx-Stretch.gif
Standing Rotation,Abs,https://fitnessprogramer.com/exercise/standing-rotation/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Standing-Rotation.gif
Upper Back Stretch,Back / Wing,https://fitnessprogramer.com/exercise/upper-back-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Upper-Back-Stretch.gif
Cable Tricep Kickback,Triceps,https://fitnessprogramer.com/exercise/cable-tricep-kickback/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Tricep-Kickback.gif
Machine Fly,Chest,https://fitnessprogramer.com/exercise/machine-fly/,https://fitnessprogramer.com/wp-content/uploads/2021/05/10301301-Lever-Pec-Deck-Fly_Chest_720.gif
Barbell Reverse Curl,Forearm,https://fitnessprogramer.com/exercise/barbell-reverse-curl/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Reverse-Curl.gif
Barbell Hack Squats,Hip,https://fitnessprogramer.com/exercise/barbell-hack-squats/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Hack-Squat.gif
Barbell Hack Squats,Leg,https://fitnessprogramer.com/exercise/barbell-hack-squats/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Hack-Squat.gif
Triceps Dips on Floor,Triceps,https://fitnessprogramer.com/exercise/triceps-dips-on-floor/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Triceps-dips-on-floors.gif
Kneeling High Pulley Row,Back / Wing,https://fitnessprogramer.com/exercise/kneeling-high-pulley-row/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kneeling-High-Pulley-Row.gif
Kneeling High Pulley Row,Trapezius,https://fitnessprogramer.com/exercise/kneeling-high-pulley-row/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kneeling-High-Pulley-Row.gif
Cable One-Arm Wrist Curl On Floor,Forearm,https://fitnessprogramer.com/exercise/cable-one-arm-wrist-curl-on-floor/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-One-Arm-Wrist-Curl-On-Floor.gif
Barbell Sumo Squat,Hip,https://fitnessprogramer.com/exercise/barbell-sumo-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-sumo-squat.gif
Barbell Sumo Squat,Leg,https://fitnessprogramer.com/exercise/barbell-sumo-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-sumo-squat.gif
Lever Standing Rear Kick,Hip,https://fitnessprogramer.com/exercise/lever-standing-rear-kick/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Lever-Standing-Rear-Kick.gif
Dumbbell Seated Front and Back Tate Press,Triceps,https://fitnessprogramer.com/exercise/dumbbell-seated-front-and-back-tate-press/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Dumbbell-Seated-Front-and-Back-Tate-Press.gif
Decline Dumbbell Press,Chest,https://fitnessprogramer.com/exercise/decline-dumbbell-press/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Decline-Dumbbell-Press.gif
Good Morning,Erector Spinae,https://fitnessprogramer.com/exercise/good-morning/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Good-Morning.gif
Good Morning,Hip,https://fitnessprogramer.com/exercise/good-morning/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Good-Morning.gif
Good Morning,Leg,https://fitnessprogramer.com/exercise/good-morning/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Good-Morning.gif
Dumbbell Bulgarian Split Squat,Leg,https://fitnessprogramer.com/exercise/dumbbell-bulgarian-split-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dumbbell-Bulgarian-Split-Squat.gif
Weighted Back Extension,Erector Spinae,https://fitnessprogramer.com/exercise/weighted-back-extension/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Weighted-Back-Extension.gif
Lever Incline Chest Press,Chest,https://fitnessprogramer.com/exercise/lever-incline-chest-press/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Lever-Incline-Chest-Press.gif
Dumbbell Romanian Deadlift,Erector Spinae,https://fitnessprogramer.com/exercise/dumbbell-romanian-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Romanian-Deadlift.gif
Dumbbell Romanian Deadlift,Hip,https://fitnessprogramer.com/exercise/dumbbell-romanian-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Romanian-Deadlift.gif
Dumbbell Romanian Deadlift,Leg,https://fitnessprogramer.com/exercise/dumbbell-romanian-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Romanian-Deadlift.gif
Hack Squats Machine,Leg,https://fitnessprogramer.com/exercise/hack-squats-machine/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Sled-Hack-Squat.gif
Hand Gripper,Forearm,https://fitnessprogramer.com/exercise/hand-gripper/,https://fitnessprogramer.com/wp-content/uploads/2022/01/Hand-Gripper.gif
Sumo Deadlift,Back / Wing,https://fitnessprogramer.com/exercise/sumo-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Sumo-Deadlift.gif
Sumo Deadlift,Erector Spinae,https://fitnessprogramer.com/exercise/sumo-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Sumo-Deadlift.gif
Sumo Deadlift,Hip,https://fitnessprogramer.com/exercise/sumo-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Sumo-Deadlift.gif
Sumo Deadlift,Leg,https://fitnessprogramer.com/exercise/sumo-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Sumo-Deadlift.gif
Half Kneeling Lat Pulldown,Back / Wing,https://fitnessprogramer.com/exercise/half-kneeling-lat-pulldown/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Half-Kneeling-Lat-Pulldown.gif
Power Skips,Cardio,https://fitnessprogramer.com/exercise/power-skips/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Power-Skips.gif
Plyo Jacks,Cardio,https://fitnessprogramer.com/exercise/plyo-jacks/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Plyo-Jacks.gif
Split Jacks,Cardio,https://fitnessprogramer.com/exercise/split-jacks/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Split-Jacks.gif
Pistol Squat,Leg,https://fitnessprogramer.com/exercise/pistol-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Pistol-Squat.gif
Butt Kicks,Cardio,https://fitnessprogramer.com/exercise/butt-kicks/,https://fitnessprogramer.com/wp-content/uploads/2021/10/Butt-Kicks.gif
Fast Feet Run,Cardio,https://fitnessprogramer.com/exercise/fast-feet-run/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Fast-Feet-Run.gif
Wheel Run,Cardio,https://fitnessprogramer.com/exercise/wheel-run/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Wheel-Run.gif
Dumbbell Lunge,Hip,https://fitnessprogramer.com/exercise/dumbbell-lunge/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Lunge.gif
Dumbbell Lunge,Leg,https://fitnessprogramer.com/exercise/dumbbell-lunge/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Lunge.gif
Dumbbell Straight Leg Deadlift,Back / Wing,https://fitnessprogramer.com/exercise/dumbbell-straight-leg-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Straight-Leg-Deadlift.gif
Dumbbell Straight Leg Deadlift,Erector Spinae,https://fitnessprogramer.com/exercise/dumbbell-straight-leg-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Straight-Leg-Deadlift.gif
Dumbbell Straight Leg Deadlift,Leg,https://fitnessprogramer.com/exercise/dumbbell-straight-leg-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Straight-Leg-Deadlift.gif
Lever Side Hip Abduction,Hip,https://fitnessprogramer.com/exercise/lever-side-hip-abduction/,https://fitnessprogramer.com/wp-content/uploads/2022/04/Lever-Side-Hip-Abduction.gif
Lever Side Hip Abduction,Leg,https://fitnessprogramer.com/exercise/lever-side-hip-abduction/,https://fitnessprogramer.com/wp-content/uploads/2022/04/Lever-Side-Hip-Abduction.gif
Bodyweight Sumo Squat,Hip,https://fitnessprogramer.com/exercise/bodyweight-sumo-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/02/BODYWEIGHT-SUMO-SQUAT.gif
Bodyweight Sumo Squat,Leg,https://fitnessprogramer.com/exercise/bodyweight-sumo-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/02/BODYWEIGHT-SUMO-SQUAT.gif
Hawaiian Squat,Leg,https://fitnessprogramer.com/exercise/hawaiian-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Hawaiian-Squat-exercise.gif
Lever Standing Leg Raise,Leg,https://fitnessprogramer.com/exercise/lever-standing-leg-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Lever-Standing-Leg-Raise.gif
Lever Side Hip Adduction,Hip,https://fitnessprogramer.com/exercise/lever-side-hip-adduction/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Lever-Side-Hip-Adduction.gif
Lever Side Hip Adduction,Leg,https://fitnessprogramer.com/exercise/lever-side-hip-adduction/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Lever-Side-Hip-Adduction.gif
Barbell Bulgarian Split Squat,Leg,https://fitnessprogramer.com/exercise/barbell-bulgarian-split-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Barbell-Bulgarian-Split-Squat.gif
Lever Deadlift,Leg,https://fitnessprogramer.com/exercise/lever-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Lever-Deadlift.gif
Dumbbell Rear Lunge,Hip,https://fitnessprogramer.com/exercise/dumbbell-rear-lunge/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dumbbell-Rear-Lunge.gif
Dumbbell Rear Lunge,Leg,https://fitnessprogramer.com/exercise/dumbbell-rear-lunge/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dumbbell-Rear-Lunge.gif
Barbell Lunge,Leg,https://fitnessprogramer.com/exercise/barbell-lunge/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Barbell-Lunge.gif
Barbell Lateral Lunge,Hip,https://fitnessprogramer.com/exercise/barbell-lateral-lunge/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Barbell-Lateral-Lunge.gif
Barbell Lateral Lunge,Leg,https://fitnessprogramer.com/exercise/barbell-lateral-lunge/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Barbell-Lateral-Lunge.gif
Leg Press Calf Raise,Calf,https://fitnessprogramer.com/exercise/leg-press-calf-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Leg-Press-Calf-Raise.gif
Side Lunge,Leg,https://fitnessprogramer.com/exercise/side-lunge-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Side-Lunge-Stretch.gif
Standing Hip Abduction,Hip,https://fitnessprogramer.com/exercise/standing-hip-abduction/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Standing-Hip-Abduction-1.gif
Cable Hip Adduction,Hip,https://fitnessprogramer.com/exercise/cable-hip-adduction/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cable-Hips-Adduction.gif
Cable Hip Adduction,Leg,https://fitnessprogramer.com/exercise/cable-hip-adduction/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cable-Hips-Adduction.gif
Zig Zag Hops Plyometric,Cardio,https://fitnessprogramer.com/exercise/zig-zag-hops-plyometric/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Zig-Zag-Hops-Plyometric.gif
Zig Zag Hops Plyometric,Leg,https://fitnessprogramer.com/exercise/zig-zag-hops-plyometric/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Zig-Zag-Hops-Plyometric.gif
Bodyweight Squat,Cardio,https://fitnessprogramer.com/exercise/bodyweight-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bodyweight-Squat.gif
Bodyweight Squat,Hip,https://fitnessprogramer.com/exercise/bodyweight-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bodyweight-Squat.gif
Bodyweight Squat,Leg,https://fitnessprogramer.com/exercise/bodyweight-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bodyweight-Squat.gif
Upavistha Konasana,Leg,https://fitnessprogramer.com/exercise/upavistha-konasana/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Upavistha-Konasana.gif
Upavistha Konasana,Yoga,https://fitnessprogramer.com/exercise/upavistha-konasana/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Upavistha-Konasana.gif
Side Lying Clam,Hip,https://fitnessprogramer.com/exercise/side-lying-clam/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Side-Lying-Clam.gif
Seated Hamstring Stretch,Erector Spinae,https://fitnessprogramer.com/exercise/seated-hamstring-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Seated-Hamstring-Stretch.gif
Seated Hamstring Stretch,Leg,https://fitnessprogramer.com/exercise/seated-hamstring-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Seated-Hamstring-Stretch.gif
Hack Squat Calf Raise,Calf,https://fitnessprogramer.com/exercise/hack-squat-calf-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Hack-Squat-Calf-Raise.gif
Kneeling Quad Stretch,Leg,https://fitnessprogramer.com/exercise/kneeling-quad-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Kneeling-Quad-Stretch.gif
Lateral Speed Step,Cardio,https://fitnessprogramer.com/exercise/lateral-speed-step/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Lateral-Speed-Step.gif
Lateral Speed Step,Leg,https://fitnessprogramer.com/exercise/lateral-speed-step/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Lateral-Speed-Step.gif
Kettlebell Single Leg Deadlift,Erector Spinae,https://fitnessprogramer.com/exercise/kettlebell-single-leg-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Kettlebell-Single-Leg-Deadlift.gif
Kettlebell Single Leg Deadlift,Hip,https://fitnessprogramer.com/exercise/kettlebell-single-leg-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Kettlebell-Single-Leg-Deadlift.gif
Seated Groin / Adductor Stretch,Leg,https://fitnessprogramer.com/exercise/seated-long-adductor-groin-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Seated-Adductor-Groin-Stretch.gif
Reverse Lunge Knee Lift,Hip,https://fitnessprogramer.com/exercise/reverse-lunge-knee/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Reverse-Lunge-Knee.gif
Reverse Lunge Knee Lift,Leg,https://fitnessprogramer.com/exercise/reverse-lunge-knee/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Reverse-Lunge-Knee.gif
Lying Hamstring Stretch,Leg,https://fitnessprogramer.com/exercise/lying-hamstring-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Hamstrings-Lying-Stretch.gif
Curtsy Squat,Cardio,https://fitnessprogramer.com/exercise/curtsy-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Curtsey-Squat.gif
Curtsy Squat,Hip,https://fitnessprogramer.com/exercise/curtsy-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Curtsey-Squat.gif
Curtsy Squat,Leg,https://fitnessprogramer.com/exercise/curtsy-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Curtsey-Squat.gif
Cable Goblet Squat,Hip,https://fitnessprogramer.com/exercise/cable-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cable-Squat.gif
Cable Goblet Squat,Leg,https://fitnessprogramer.com/exercise/cable-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cable-Squat.gif
Cable Donkey Kickback,Hip,https://fitnessprogramer.com/exercise/cable-donkey-kickback/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cable-Donkey-Kickback.gif
Bridge Hip Abduction,Hip,https://fitnessprogramer.com/exercise/bridge-hip-abduction/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bridge-Hip-Abduction.gif
Standing Toe Touch,Abs,https://fitnessprogramer.com/exercise/standing-toe-touch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Standing-Toe-Touch.gif
Thigh fly (Adductor Magnus Stretch),Hip,https://fitnessprogramer.com/exercise/adductor-magnus-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Adductor-Magnus-Stretch.gif
Thigh fly (Adductor Magnus Stretch),Leg,https://fitnessprogramer.com/exercise/adductor-magnus-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Adductor-Magnus-Stretch.gif
Split Jump Squat,Cardio,https://fitnessprogramer.com/exercise/split-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Split-Squat.gif
Split Jump Squat,Hip,https://fitnessprogramer.com/exercise/split-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Split-Squat.gif
Split Jump Squat,Leg,https://fitnessprogramer.com/exercise/split-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Split-Squat.gif
Cossack Squat,Hip,https://fitnessprogramer.com/exercise/cossack-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cossack-Squat.gif
Cossack Squat,Leg,https://fitnessprogramer.com/exercise/cossack-squat/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cossack-Squat.gif
Glute Kickback Machine,Hip,https://fitnessprogramer.com/exercise/glute-kickback-machine/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Glute-Kickback-Machine.gif
Lever Seated Calf Raise,Calf,https://fitnessprogramer.com/exercise/lever-seated-calf-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Lever-Seated-Calf-Raise.gif
Single Leg Calf Raise,Calf,https://fitnessprogramer.com/exercise/single-leg-calf-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Single-Leg-Calf-Raises.gif
Crunch With Leg Raise,Abs,https://fitnessprogramer.com/exercise/crunch-with-leg-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Crunch-With-Leg-Raise.gif
Alternate Lying Floor Leg Raise,Abs,https://fitnessprogramer.com/exercise/alternate-lying-floor-leg-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Alternate-Lying-Floor-Leg-Raise.gif
Chest Dips,Chest,https://fitnessprogramer.com/exercise/chest-dips/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Chest-Dips.gif
Hack Machine One-Leg Calf Raise,Calf,https://fitnessprogramer.com/exercise/hack-machine-one-leg-calf-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Hack-Machine-One-Leg-Calf-Raise.gif
Assisted Chest Dip,Chest,https://fitnessprogramer.com/exercise/assisted-chest-dip/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Assisted-Chest-Dip.gif
Donkey Calf Raise,Calf,https://fitnessprogramer.com/exercise/donkey-calf-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Donkey-Calf-Raise.gif
Lever Donkey Calf Raise,Calf,https://fitnessprogramer.com/exercise/lever-donkey-calf-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Lever-Donkey-Calf-Raise.gif
Bench Press Machine Standing Calf Raise,Calf,https://fitnessprogramer.com/exercise/bench-press-machine-standing-calf-raise/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Bench-Press-Machine-Standing-Calf-Raise.gif
Lying Cable Fly,Chest,https://fitnessprogramer.com/exercise/lying-cable-fly/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Lying-Cable-Fly.gif
Drop Push-Up,Chest,https://fitnessprogramer.com/exercise/drop-push-up/,https://fitnessprogramer.com/wp-content/uploads/2021/06/Drop-Push-Up.gif
Weighted Crunch,Abs,https://fitnessprogramer.com/exercise/weighted-crunch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Weighted-Crunch.gif
Seated Side Crunch,Abs,https://fitnessprogramer.com/exercise/seated-side-crunch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Seated-Side-Crunches.gif
Seated Side Crunch,Leg,https://fitnessprogramer.com/exercise/seated-side-crunch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Seated-Side-Crunches.gif
Standing Cross Leg Hamstring Stretch,Calf,https://fitnessprogramer.com/exercise/standing-cross-leg-hamstring-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Standing-Cross-Leg-Hamstring-Stretch.gif
Standing Cross Leg Hamstring Stretch,Hip,https://fitnessprogramer.com/exercise/standing-cross-leg-hamstring-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Standing-Cross-Leg-Hamstring-Stretch.gif
Standing Cross Leg Hamstring Stretch,Leg,https://fitnessprogramer.com/exercise/standing-cross-leg-hamstring-stretch/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Standing-Cross-Leg-Hamstring-Stretch.gif
Backward Jump,Cardio,https://fitnessprogramer.com/exercise/backward-jump/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Backward-Jumping.gif
Backward Jump,Leg,https://fitnessprogramer.com/exercise/backward-jump/,https://fitnessprogramer.com/wp-content/uploads/2021/05/Backward-Jumping.gif
