exercise,primary_muscle,exercise_link,image_link
Dumbbell Good Morning,Erector Spinae,https://fitnessprogramer.com/exercise/dumbbell-good-morning/,https://fitnessprogramer.com/wp-content/uploads/2023/10/Dumbbell-Good-Morning.gif
Dumbbell Good Morning,Hip,https://fitnessprogramer.com/exercise/dumbbell-good-morning/,https://fitnessprogramer.com/wp-content/uploads/2023/10/Dumbbell-Good-Morning.gif
Dumbbell Good Morning,Leg,https://fitnessprogramer.com/exercise/dumbbell-good-morning/,https://fitnessprogramer.com/wp-content/uploads/2023/10/Dumbbell-Good-Morning.gif
Dumbbell Squat,Hip,https://fitnessprogramer.com/exercise/dumbbell-squat/,https://fitnessprogramer.com/wp-content/uploads/2023/09/Dumbbell-Squat.gif
Dumbbell Squat,Leg,https://fitnessprogramer.com/exercise/dumbbell-squat/,https://fitnessprogramer.com/wp-content/uploads/2023/09/Dumbbell-Squat.gif
Depth Jump to Hurdle Hop,Cardio,https://fitnessprogramer.com/exercise/depth-jump-to-hurdle-hop/,https://fitnessprogramer.com/wp-content/uploads/2023/09/Depth-Jump-to-Hurdle-Hop.gif
Depth Jump to Hurdle Hop,Hip,https://fitnessprogramer.com/exercise/depth-jump-to-hurdle-hop/,https://fitnessprogramer.com/wp-content/uploads/2023/09/Depth-Jump-to-Hurdle-Hop.gif
Depth Jump to Hurdle Hop,Leg,https://fitnessprogramer.com/exercise/depth-jump-to-hurdle-hop/,https://fitnessprogramer.com/wp-content/uploads/2023/09/Depth-Jump-to-Hurdle-Hop.gif
Waiter Curl,Biceps,https://fitnessprogramer.com/exercise/waiter-curl/,https://fitnessprogramer.com/wp-content/uploads/2023/09/waiter-curl.gif
Power Lunge,Cardio,https://fitnessprogramer.com/exercise/power-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/09/power-lunge.gif
Power Lunge,Hip,https://fitnessprogramer.com/exercise/power-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/09/power-lunge.gif
Power Lunge,Leg,https://fitnessprogramer.com/exercise/power-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/09/power-lunge.gif
Shadow Boxing,Cardio,https://fitnessprogramer.com/exercise/shadow-boxing/,https://fitnessprogramer.com/wp-content/uploads/2023/09/shadow-boxing-workout.gif
Standing Dumbbell Shoulder Press,Shoulders,https://fitnessprogramer.com/exercise/standing-dumbbell-shoulder-press/,https://fitnessprogramer.com/wp-content/uploads/2023/09/Standing-Dumbbell-Overhead-Press.gif
Dumbbell Deadlift,Erector Spinae,https://fitnessprogramer.com/exercise/dumbbell-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-deadlifts.gif
Dumbbell Deadlift,Full Body,https://fitnessprogramer.com/exercise/dumbbell-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-deadlifts.gif
Dumbbell Deadlift,Hip,https://fitnessprogramer.com/exercise/dumbbell-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-deadlifts.gif
Dumbbell Deadlift,Leg,https://fitnessprogramer.com/exercise/dumbbell-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-deadlifts.gif
Dumbbell Sumo Deadlift,Erector Spinae,https://fitnessprogramer.com/exercise/dumbbell-sumo-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-sumo-deadlift.gif
